source_title,year,result,matched_id,matched_title
変形性股関節症診療ガイドライン2024(改訂第3版),2024,MATCHED,GL-JP-000190,変形性股関節症診療ガイドライン2024改訂第3版
皮膚がん診療ガイドライン第4版 有棘細胞癌診療ガイドライン 2025,2025,MATCHED,GL-JP-000167,日本皮膚科学会ガイドライン 皮膚がん診療ガイドライン第4版 有棘細胞癌診療ガイドライン2025
皮膚がん診療ガイドライン第4版 メルケル細胞癌診療ガイドライン 2025,2025,MATCHED,GL-JP-000173,日本皮膚科学会ガイドライン 皮膚がん診療ガイドライン第4版 メルケル細胞癌診療ガイドライン2025
皮膚がん診療ガイドライン第4版 メラノーマ診療ガイドライン 2025,2025,MATCHED,GL-JP-000670,皮膚がん診療ガイドライン第4版 メラノーマ診療ガイドライン 2025
皮膚がん診療ガイドライン第4版 皮膚リンパ腫診療ガイドライン2025,2025,MATCHED,GL-JP-000168,日本皮膚科学会ガイドライン 皮膚がん診療ガイドライン第4版 皮膚リンパ腫診療ガイドライン2025
皮膚がん診療ガイドライン第4版 皮膚血管肉腫診療ガイドライン2025,2025,MATCHED,GL-JP-000172,日本皮膚科学会ガイドライン 皮膚がん診療ガイドライン第4版 皮膚血管肉腫診療ガイドライン2025
皮膚がん診療ガイドライン第4版 乳房外パジェット病診療ガイドライン 2025,2025,MATCHED,GL-JP-000174,日本皮膚科学会ガイドライン 皮膚がん診療ガイドライン第4版 乳房外パジェット病診療ガイドライン2025
皮膚がん診療ガイドライン第4版 基底細胞癌診療ガイドライン2025,2025,MATCHED,GL-JP-000166,日本皮膚科学会ガイドライン 皮膚がん診療ガイドライン第4版 基底細胞癌診療ガイドライン2025
日本リウマチ学会 シェーグレン症候群診療ガイドライン2025年版,2025,MATCHED,GL-JP-000178,シェーグレン症候群診療ガイドライン 2025年版
上腕骨外側上顆炎診療ガイドライン2024(改訂第3版),2024,MATCHED,GL-JP-000189,上腕骨外側上顆炎診療ガイドライン 2024 改訂第3版
2026年改訂版 大型血管炎診療ガイドライン,2026,MATCHED,GL-JP-000504,2026年改訂版 大型血管炎診療ガイドライン
HTLV-1関連脊髄症（HAM）診療ガイドライン2025,2025,MATCHED,GL-JP-000017,HTLV-1 関連脊髄症(HAM)診療ガイドライン 2025
X染色体連鎖性低リン血症性くる病・骨軟化症診療ガイドライン,2026,MATCHED,GL-JP-000150,X染色体連鎖性低リン血症性くる病・骨軟化症診療ガイドライン
急性腹症診療ガイドライン2025 第2版,2025,MATCHED,GL-JP-000460,急性腹症診療ガイドライン2025 第2版
骨粗鬆症の予防と治療ガイドライン2025年版,2025,MATCHED,GL-JP-000603,骨粗鬆症の予防と治療ガイドライン2025年版
若年性特発性関節炎診療ガイドライン2024-25年版,2024,MATCHED,GL-JP-000179,若年性特発性関節炎診療ガイドライン 2024-25年版
サルコペニア・フレイルの予防・改善に関するデジタルヘルスのためのガイドライン,2025,MATCHED,GL-JP-000616,サルコペニア・フレイルの予防・改善に関するデジタルヘルスのためのガイドライン
熱中症診療ガイドライン2024,2024,MATCHED,GL-JP-000672,熱中症診療ガイドライン2024
小児胃軸捻転症診療ガイドライン,2025,MATCHED,GL-JP-000630,小児胃軸捻転症診療ガイドライン【詳細版】
日本版敗血症診療ガイドライン2024,2024,MATCHED,GL-JP-000019,日本版敗血症診療ガイドライン2024（J-SSCG2024）ダイジェスト版
生活期におけるリハビリテーション・栄養・口腔管理,2024,MATCHED,GL-JP-000386,生活期におけるリハビリテーション・栄養・口腔管理の協働に関するケアガイドライン
接着ブリッジのガイドライン2024,2024,MATCHED,GL-JP-000673,接着ブリッジのガイドライン2024（追補版）
エビデンスにもとづく 在宅ケア実践ガイドライン2025,2025,MATCHED,GL-JP-000691,エビデンスにもとづく 在宅ケア実践ガイドライン2025
